FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2019 ORDINANCE (AMOUNT $)
LOCAL,0100,CORPORATE FUND,38,FFM,2126,BUREAU OF FACILITY MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,6680831.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2290,COMMITTEE ON WORKFORCE DEV,300,COMMODITIES AND MATERIALS,5000.00
LOCAL,0610,MIDWAY AIRPORT FUND,57,CPD,1005,Chicago Police Department,91,UNIFORM ALLOWANCE,90000.00
LOCAL,0100,CORPORATE FUND,77,LICENSE APPEAL,2005,LICENSE APPEAL COMMISSION,197,TELEPHONE - MAINTENANCE,25.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,348,BOOKS AND RELATED MATERIAL,23100.00
LOCAL,0300,VEHICLE FUND,25,CITY CLERK,2005,CITY CLERK,162,REPAIR/MAINT EQUIPMENT,10275.00
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,340,MATERIAL AND SUPPLIES,301082.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,95,PAYMENT TO DEPENDENTS OF POLICE /FIRE,200000.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,700,CONTINGENCIES,100.00
LOCAL,0300,VEHICLE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,29,HMO PREMIUMS,4063763.00
GRANTS,0T74,AREA PLAN ON AGING - STATE,50,DFSS,2903,AREA PLAN ON AGING - STATE,150,PUBLICATN & REPRODT-OUT,1000.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,197,TELEPHONE - MAINTENANCE,1575.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,181,MOBILE COMMUNICATION SERVICES,40300.00
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,365,ELECTRICAL SUPPLIES,115000.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2105,COMMISSIONER'S OFFICE,178,FREIGHT AND EXPRESS CHARGES,250.00
CDBG,0J45,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,350,STATIONERY AND OFFICE SUPPLIES,3500.00
GRANTS,0U74,WOMEN INFANTS AND CHILDREN NUTRITION,41,HEALTH,2808,WIC NUTRITION,155,RENTAL OF PROPERTY,40949.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,138,IT MAINTENANCE,41799101.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2235,COMMITTEE ON PUBLIC SAFETY,100,CONTRACTUAL SERVICES,1000.00
LOCAL,0100,CORPORATE FUND,35,DPS,2005,PROCUREMENT SERVICES,15,SCHEDULE SALARY ADJUSTMENTS,35203.00
LOCAL,0100,CORPORATE FUND,60,COPA,2005,COPA,162,REPAIR/MAINT EQUIPMENT,97944.00
GRANTS,0V86,LOCAL LAW ENFORCEMENT CRIME GUN INTEL,57,CPD,280R,Gun Intelligence Integration,340,MATERIAL AND SUPPLIES,136000.00
LOCAL,0200,WATER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,5,SALARIES AND WAGES - ON PAYROLL,66282889.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,934,CLAIMS AGAINST THE CITY,15000.00
CDBG,0J45,CDBG,54,PLANNING AND DEVELOPMENT,2505,FINANCE AND ADMINISTRATION,159,LEASE/PURCHASE EQUIPMENT,74013.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,160,REPAIR/MAINT PROPERTY,1780000.00
LOCAL,0100,CORPORATE FUND,38,FFM,2140,FLEET OPERATIONS,360,REPAIR PARTS AND MATERIAL,20104703.00
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9611,REIMB - INDIRECT COSTS TO CORPORATE,246000.00
LOCAL,0100,CORPORATE FUND,70,BACP,2005,BACP,9438,REIMBURSEMENT - 2FM,103500.00
GRANTS,0Y23,AREA PLAN ON AGING,50,DFSS,2903,AREA PLAN ON AGING - STATE,270,LOCAL TRANSPORTATION,1500.00
GRANTS,0U26,MATERNAL AND CHILD HEALTH,41,HEALTH,2910,MATERNAL AND CHILD HEALTH,350,STATIONERY AND OFFICE SUPPLIES,52150.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2245,COMMITTEE ON COMMT RULES ETHIC,300,COMMODITIES AND MATERIALS,500.00
GRANTS,0Y34,HEAD START,50,DFSS,2860,HEAD START,270,LOCAL TRANSPORTATION,5000.00
GRANTS,0U23,IMMUNIZATION /VACCINES FOR CHILDREN,41,HEALTH,2820,IMMUNIZATIONS,340,MATERIAL AND SUPPLIES,76232.00
GRANTS,0X79,MORBIDITY AND RISK BEHAVIOR SURVEILLANCE,41,HEALTH,2887,MORBIDITY AND RISK BEHAVIOR,140,PROFESSIONAL AND TECHNICAL SERVICES,306159.00
LOCAL,0100,CORPORATE FUND,81,DSS,2020,BUREAU OF SANITATION,196,DATA CIRCUITS,31200.00
LOCAL,0740,O HARE REVENUE FUND,31,LAW,2005,LAW,350,STATIONERY AND OFFICE SUPPLIES,5328.00
LOCAL,0100,CORPORATE FUND,78,ETHICS,2005,BOARD OF ETHICS,270,LOCAL TRANSPORTATION,1500.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2150,ELECTRICAL OPERATIONS,162,REPAIR/MAINT EQUIPMENT,12000.00
LOCAL,0740,O HARE REVENUE FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHICLE DIESEL FUEL,1032081.00
GRANTS,0Y33,EARLY HEAD START INITIATIVE,50,DFSS,2857,EARLY HEAD START INITIATIVE,130,POSTAGE,5093.00
CDBG,0J45,CDBG,50,DFSS,2520,WORKFORCE SERVICES,5,SALARIES AND WAGES - ON PAYROLL,293550.00
CDBG,0J45,CDBG,21,HOUSING,2556,Developer Services,169,TECHNICAL MEETING COSTS,14500.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,142,ACCOUNTING AND AUDITING,442500.00
GRANTS,0Y44,CHA FAMILY SUPPORTIVE SERVICES,50,DFSS,2896,CHA FAMILY SUPPORTIVE SERVICES,140,PROFESSIONAL AND TECHNICAL SERVICES,361844.00
LOCAL,0100,CORPORATE FUND,28,TREASURER,2005,CITY TREASURER,196,DATA CIRCUITS,1810.00
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,937,HOSPITAL//MEDICAL - NOT WORKERS' COMP,19000000.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,6061.00
LOCAL,0200,WATER FUND,31,LAW,2005,LAW,9438,REIMBURSEMENT - 2FM,350.00
LOCAL,0100,CORPORATE FUND,81,DSS,2006,ADMINISTRATIVE SERV DIVISION,350,STATIONERY AND OFFICE SUPPLIES,5250.00
CDBG,0J45,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,44,FRINGE BENEFITS,93665.00
GRANTS,0Z41,SUBSTANCE ABUSE AND AIDS PREVENTION,48,MOPD,2805,SUBSTANCE ABUSE/AIDS PREV-H.I.,44,FRINGE BENEFITS,64950.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2115,ADMINISTRATION,348,BOOKS AND RELATED MATERIAL,2200.00
GRANTS,0Z57,ILLINOIS LIBRARY DEVELOPMENT,91,CPL,2895,ILL LIBRARY DEVEL. PER CAPITA,44,FRINGE BENEFITS,2180582.00
CDBG,0J45,CDBG,21,HOUSING,2557,Housing Preservation,340,MATERIAL AND SUPPLIES,3000.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,CFD,2005,Chicago Fire Department,61,DRIVER'S DIFFERENTIAL,50450.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,168,EDUCATION DEVELOPMENT,2140200.00
LOCAL,0100,CORPORATE FUND,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,140,PROFESSIONAL AND TECHNICAL SERVICES,365466.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,1917.00
GRANTS,0U61,LOCAL HEALTH PROTECTION,41,HEALTH,2730,Local Health Protection,197,TELEPHONE - MAINTENANCE,1499.00
LOCAL,0346,LIBRARY FUND,91,CPL,2005,CHICAGO PUBLIC LIBRARY,191,TELEPHONE - RELOCATIONS,9100.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,130,POSTAGE,200.00
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,91,UNIFORM ALLOWANCE,21701525.00
LOCAL,0200,WATER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,181,MOBILE COMMUNICATION SERVICES,285000.00
LOCAL,0346,LIBRARY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,70,TUITION REIMBURSEMENT,85000.00
GRANTS,0V95,LOCAL ALCOHOL PROGRAM,57,CPD,2995,Local Alcohol Program,140,PROFESSIONAL AND TECHNICAL SERVICES,458000.00
CDBG,0J45,CDBG,21,HOUSING,2557,Housing Preservation,245,REIMBURSEMENT TO TRAVELERS,3000.00
CDBG,0J45,CDBG,45,HUMAN RELATIONS,2510,FAIR HOUSING,44,FRINGE BENEFITS,184303.00
GRANTS,0U19,HEALTHY FAMILIES ILLINOIS,41,HEALTH,2849,HEALTHY FAMILIES ILLINOIS,135,DELEGATE AGENCIES,52908.00
LOCAL,0314,SEWER FUND,38,FFM,2140,FLEET OPERATIONS,161,MAINT FACILITIES,50000.00
LOCAL,0310,MOTOR FUEL TAX FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9189,FOR ANNUAL PAYMENT TO CTA,3000000.00
GRANTS,0X27,TUBERCULOSIS CONTROL,41,HEALTH,2824,TUBERCULOSIS CONTROL,140,PROFESSIONAL AND TECHNICAL SERVICES,384401.00
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,24,COMPENSATORY TIME PAYMENT,665523.00
CDBG,0J45,CDBG,31,LAW,2515,CODE ENFORCEMENT,44,FRINGE BENEFITS,532394.00
LOCAL,0314,SEWER FUND,31,LAW,2005,LAW,157,RENTAL EQUIPMENT AND SERVICES,409.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,96,TEXT FILE - EXTRA LONG,150000.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9067,PHYSICAL EXAMS,210000.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,148,TESTING AND INSPECTING,12500.00
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9980,MUNICIPAL FUND PENSION ALLOCATION,29673000.00
LOCAL,0300,VEHICLE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,142,ACCOUNTING AND AUDITING,150000.00
LOCAL,0200,WATER FUND,38,FFM,2140,FLEET OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,4398671.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,63088.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2125,ENGINEERING,159,LEASE/PURCHASE EQUIPMENT,21025.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,931,TORT/NON-TORT JUDGMENT,6414000.00
LOCAL,0740,O HARE REVENUE FUND,31,LAW,2005,LAW,145,LEGAL EXPENSES,6492.00
LOCAL,0B21,TIF ADMINISTRATION,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,5,SALARIES AND WAGES - ON PAYROLL,3500256.00
LOCAL,0314,SEWER FUND,38,FFM,2140,FLEET OPERATIONS,360,REPAIR PARTS AND MATERIAL,754603.00
GRANTS,0W82,HOME INVESTMENT PARTNERSHIP,21,HOUSING,2833,Home Investment Partnership,5,SALARIES AND WAGES - ON PAYROLL,1123812.00
LOCAL,0B25,CHICAGO CPD CTA DETAIL,57,CPD,1005,Chicago Police Department,6,SALARY PROVISION,10754000.00
LOCAL,0681,MUNICIPAL ANNUNITY AND BENEFIT,99,FINANCE GENERAL,2005,FINANCE GENERAL,980,MEABF OBLIGATION FUND,50002000.00
LOCAL,0100,CORPORATE FUND,81,DSS,2005,COMMISSIONER'S OFFICE,140,PROFESSIONAL AND TECHNICAL SERVICES,21800.00
LOCAL,0100,CORPORATE FUND,81,DSS,2025,BUREAU OF RODENT CONTROL,181,MOBILE COMMUNICATION SERVICES,61500.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,135,DELEGATE AGENCIES,741223.00
LOCAL,0310,MOTOR FUEL TAX FUND,84,CDOT,2150,ELECTRICAL OPERATIONS,12,CONTRACT WAGE - PREVAILING RATE,262564.00
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,135,DELEGATE AGENCIES,970000.00
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,2015,CULTURAL AFFAIRS SPECIAL EVENT,350,STATIONERY AND OFFICE SUPPLIES,45000.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2135,INFRASTRUCTURE MANAGEMENT,9438,REIMBURSEMENT - 2FM,4000.00
LOCAL,0200,WATER FUND,88,DWM,2005,COMMISSIONER'S OFFICE,162,REPAIR/MAINT EQUIPMENT,466675.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,245,REIMBURSEMENT TO TRAVELERS,3000.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,49,WORKERS' COMPENSATION,39000000.00
GRANTS,0Y33,EARLY HEAD START INITIATIVE,50,DFSS,2857,EARLY HEAD START INITIATIVE,15,SCHEDULE SALARY ADJUSTMENTS,9377.00
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,157,RENTAL EQUIPMENT AND SERVICES,10000.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2140,Sign Management,12,CONTRACT WAGE - PREVAILING RATE,29421.00
LOCAL,0740,O HARE REVENUE FUND,28,TREASURER,2005,CITY TREASURER,5,SALARIES AND WAGES - ON PAYROLL,821446.00
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,340,MATERIAL AND SUPPLIES,594550.00
GRANTS,0U23,IMMUNIZATION /VACCINES FOR CHILDREN,41,HEALTH,2820,IMMUNIZATIONS,229,TRANSPORTATION AND EXPENSE ALLOWANCE,13803.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,157,RENTAL EQUIPMENT AND SERVICES,54324.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2115,ADMINISTRATION,181,MOBILE COMMUNICATION SERVICES,15120.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,169,TECHNICAL MEETING COSTS,37500.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2125,ENGINEERING,350,STATIONERY AND OFFICE SUPPLIES,12310.00
LOCAL,0353,EMERGENCY COMMUN FD,99,FINANCE GENERAL,2005,FINANCE GENERAL,56,DENTAL PLAN PREMIUMS,314140.00
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,5,SALARIES AND WAGES - ON PAYROLL,9793162.00
GRANTS,0624,O'HARE AIRPORT,85,AVIATION,2810,AIP-O'HARE,140,PROFESSIONAL AND TECHNICAL SERVICES,49842000.00
LOCAL,0100,CORPORATE FUND,28,TREASURER,2005,CITY TREASURER,181,MOBILE COMMUNICATION SERVICES,3360.00
GRANTS,0U08,AIR POLLUTION CONTROL PROGRAM,41,HEALTH,2714,AIR POLLUTION CONTROL PROGRAM,5,SALARIES AND WAGES - ON PAYROLL,229694.00
GRANTS,0833,MOPD PRIVATE FUNDED,48,MOPD,2832,RTA - ADA Certification Appeal,340,MATERIAL AND SUPPLIES,2500.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,245,REIMBURSEMENT TO TRAVELERS,5383.00
LOCAL,0200,WATER FUND,35,DPS,2005,PROCUREMENT SERVICES,5,SALARIES AND WAGES - ON PAYROLL,250338.00
LOCAL,0B32,GARBAGE COLLECTION FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,812160.00
LOCAL,0610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,5,SALARIES AND WAGES - ON PAYROLL,153601.00
LOCAL,0100,CORPORATE FUND,28,TREASURER,2005,CITY TREASURER,149,SOFTWARE MAINTENANCE AND LICENSING,16000.00
LOCAL,0314,SEWER FUND,28,TREASURER,2005,CITY TREASURER,140,PROFESSIONAL AND TECHNICAL SERVICES,25358.00
LOCAL,0314,SEWER FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHICLE DIESEL FUEL,621292.00
LOCAL,0200,WATER FUND,88,DWM,2010,ADMINISTRATIVE SUPPORT,149,SOFTWARE MAINTENANCE AND LICENSING,80000.00
GRANTS,0Y11,EMERGENCY SOLUTIONS,50,DFSS,2944,Emergency Solutions,140,PROFESSIONAL AND TECHNICAL SERVICES,25773.00
LOCAL,0300,VEHICLE FUND,81,DSS,2070,BUREAU OF TRAFFIC SERVICES,162,REPAIR/MAINT EQUIPMENT,32500.00
LOCAL,0740,O HARE REVENUE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,245,REIMBURSEMENT TO TRAVELERS,1432.00
GRANTS,0075,GRANTS MANAGEMENT FUND,5,OBM,2855,GRANTS MANAGEMENT,39,STUDENT AS TRAINEES,26876.00
LOCAL,0310,MOTOR FUEL TAX FUND,84,CDOT,2125,ENGINEERING,144,ENGINEERING AND ARCHITECTURE,900000.00
GRANTS,0K79,OPTIMIZING VIDEO TECHNOLOGY,57,CPD,280D,Optimizing Video Tech.,20,OVERTIME,240000.00
LOCAL,0314,SEWER FUND,88,DWM,2015,ENGINEERING SERVICES,162,REPAIR/MAINT EQUIPMENT,2800.00
LOCAL,0314,SEWER FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,154,RENTAL-DATA HARDWARE EQ,40000.00
GRANTS,0U26,MATERNAL AND CHILD HEALTH,41,HEALTH,2910,MATERNAL AND CHILD HEALTH,186,PAGERS,2248.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,157,RENTAL EQUIPMENT AND SERVICES,5000.00
LOCAL,0100,CORPORATE FUND,35,DPS,2005,PROCUREMENT SERVICES,229,TRANSPORTATION AND EXPENSE ALLOWANCE,200.00
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,162,REPAIR/MAINT EQUIPMENT,388000.00
LOCAL,0100,CORPORATE FUND,73,ANIMAL CARE / CONTROL,2005,ANIMAL CARE AND CONTROL,159,LEASE/PURCHASE EQUIPMENT,36000.00
CDBG,0J45,CDBG,27,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,39,STUDENT AS TRAINEES,20000.00
GRANTS,0U44,LEAD HAZARD REDUCTION,41,HEALTH,2944,LEAD HAZARD REDUCTION DEMO,140,PROFESSIONAL AND TECHNICAL SERVICES,3900000.00
LOCAL,0610,MIDWAY AIRPORT FUND,35,DPS,2005,PROCUREMENT SERVICES,245,REIMBURSEMENT TO TRAVELERS,400.00
LOCAL,0100,CORPORATE FUND,30,ADMINISTRATIVE HEARINGS,2005,ADMINISTRATIVE HEARINGS,350,STATIONERY AND OFFICE SUPPLIES,12581.00
CDBG,0J45,CDBG,50,DFSS,2501,PLANNING AND ADMINISTRATION,169,TECHNICAL MEETING COSTS,5026.00
CDBG,0J45,CDBG,21,HOUSING,2561,Repairs for Seniors,5,SALARIES AND WAGES - ON PAYROLL,251041.00
LOCAL,0100,CORPORATE FUND,33,DHR,2005,HUMAN RESOURCES,140,PROFESSIONAL AND TECHNICAL SERVICES,350685.00
LOCAL,0740,O HARE REVENUE FUND,57,CPD,1005,Chicago Police Department,21,SWORN/CIVILIAN HOLIDAY PREMIUM PAY,46350.00
LOCAL,0100,CORPORATE FUND,67,BUILDINGS,2005,BUILDINGS,989,REFUND - CANCELLED VOUCHER,100000.00
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,5,SALARIES AND WAGES - ON PAYROLL,1066589.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,159,LEASE/PURCHASE EQUIPMENT,12920.00
GRANTS,0X60,BIOTERRORISM HOSPITAL PREPAREDNESS PROGR,41,HEALTH,2883,BIOTERRORISM HOSPITAL PREP,801,INDIRECT COSTS,181592.00
CDBG,0J45,CDBG,54,PLANNING AND DEVELOPMENT,2505,FINANCE AND ADMINISTRATION,162,REPAIR/MAINT EQUIPMENT,6249.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9291,LEGAL PROTECTION FUND,1300000.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,138,IT MAINTENANCE,278.00
LOCAL,0314,SEWER FUND,31,LAW,2005,LAW,39,STUDENT AS TRAINEES,257.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,9441,REIMBURSEMENT - CDPH,90000.00
LOCAL,0200,WATER FUND,88,DWM,2020,WATER SUPPLY,125,OFFICE AND BUILDING SERVICES,342000.00
LOCAL,0100,CORPORATE FUND,77,LICENSE APPEAL,2005,LICENSE APPEAL COMMISSION,130,POSTAGE,90.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2145,PROJECT DEVELOPMENT,169,TECHNICAL MEETING COSTS,1700.00
GRANTS,0V40,CONSERVATION INNOVATION PROGRAM,54,PLANNING AND DEVELOPMENT,2884,Conservation Innovation,44,FRINGE BENEFITS,33436.00
LOCAL,0100,CORPORATE FUND,38,FFM,2140,FLEET OPERATIONS,319,CLOTHING,16100.00
GRANTS,0X47,EPI-EBOLA,41,HEALTH,280K,EPI-EBOLA,140,PROFESSIONAL AND TECHNICAL SERVICES,750000.00
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9047,SPECIAL CAPITAL PROJECTS - AIRLINES,2000000.00
LOCAL,0200,WATER FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,5,SALARIES AND WAGES - ON PAYROLL,213791.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,319,CLOTHING,87400.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2140,Sign Management,149,SOFTWARE MAINTENANCE AND LICENSING,9000.00
CDBG,0J45,CDBG,21,HOUSING,2557,Housing Preservation,5,SALARIES AND WAGES - ON PAYROLL,435534.00
GRANTS,0U74,WOMEN INFANTS AND CHILDREN NUTRITION,41,HEALTH,2808,WIC NUTRITION,130,POSTAGE,400.00
GRANTS,0X96,HEALTHY CHICAGO 2.0,41,HEALTH,280M,Healthy Chicago 2.0,140,PROFESSIONAL AND TECHNICAL SERVICES,10000.00
GRANTS,0T79,HEAD START,50,DFSS,2860,HEAD START,140,PROFESSIONAL AND TECHNICAL SERVICES,12761413.00
LOCAL,0516,LIBRARY BOND REDEMPTION,99,FINANCE GENERAL,2005,FINANCE GENERAL,902,INTEREST ON BONDS,2488000.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,7396.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,CFD,2005,Chicago Fire Department,60,SPECIALTY PAY,233438.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,139,IT DEVELOPMENT,2588532.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2125,ENGINEERING,152,ADVERTISING,1000.00
LOCAL,0B41,NEIGHBORHOOD OPPORTUNITY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,42,TEXT FILE - EXTRA LONG,44344.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,196,DATA CIRCUITS,430000.00
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,159,LEASE/PURCHASE EQUIPMENT,4994.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2105,COMMISSIONER'S OFFICE,190,TELEPHONE - NON-CENTREX BILLINGS,7100.00
GRANTS,0Z88,PORT SECURITY,59,CFD,2824,Port Security,140,PROFESSIONAL AND TECHNICAL SERVICES,751000.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,162,REPAIR/MAINT EQUIPMENT,8000.00
LOCAL,0100,CORPORATE FUND,38,FFM,2126,BUREAU OF FACILITY MANAGEMENT,313,CLEANING AND SANITATION SUPPLIES,745210.00
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,902,INTEREST ON BONDS,324183362.00
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,15,SCHEDULE SALARY ADJUSTMENTS,4265.00
LOCAL,0100,CORPORATE FUND,81,DSS,2060,BUREAU OF FORESTRY,190,TELEPHONE - NON-CENTREX BILLINGS,6100.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,5825337.00
GRANTS,0Y10,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,190,TELEPHONE - NON-CENTREX BILLINGS,23520.00
LOCAL,0300,VEHICLE FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,140,PROFESSIONAL AND TECHNICAL SERVICES,4577666.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2145,PROJECT DEVELOPMENT,9142,X-OFFENDER/RE-ENTRY INI,250000.00
LOCAL,0100,CORPORATE FUND,28,TREASURER,2005,CITY TREASURER,350,STATIONERY AND OFFICE SUPPLIES,6500.00
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,138,IT MAINTENANCE,2524431.00
GRANTS,0K32,FORECLOSURE PREVENTION PROGRAM,21,HOUSING,2832,Foreclosure Prevention Program,135,DELEGATE AGENCIES,580000.00
LOCAL,0200,WATER FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHICLE DIESEL FUEL,1261412.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2125,ENGINEERING,190,TELEPHONE - NON-CENTREX BILLINGS,7000.00
LOCAL,0200,WATER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,160,REPAIR/MAINT PROPERTY,323800.00
